P36041	P07260
P39706	P38123
P36010	P38987
P40070	P40089
P40362	Q06078
Q02775	P33411
P33298	P53549
Q04048	Q12417
P38251	P40348
P02309	P04911
P39743	P53169
P25451	P23639
P32793	Q06604
P36000	Q00776
P40302	P21242
P15436	P47110
P08067	P07143
P01120	P01119
P32790	P33338
Q07800	P12611
P28004	Q12309
P29366	P19073
P28004	P24384
P43594	P28000
P04050	P38902
P40070	P34230
P21691	P54784
Q01389	P08004
P25293	P53939
P00163	P08067
P33308	Q12343
P32790	Q06604
P38203	Q06217
P23638	P32379
P22141	P30656
P38633	P38782
Q12030	P46677
P34077	Q03790
P12754	P32502
P40460	P33895
P38620	Q12265
P43609	Q06168
P33204	P36006
P40509	P22276
P02294	Q12692
P32628	P14736
P13434	P38874
P25343	P39743
P38682	P41811
P54861	P53550
P17890	P32349
P15873	P26793
P17442	P40186
P07278	P06245
P33298	P50086
P17157	Q08966
P41810	P22276
P41811	P40509
P53079	P53959
Q12517	P29295
P39998	P53550
P52286	Q06479
P13574	P32337
P33203	Q12186
P21243	P25043
P11076	P40509
P53207	P33203
P14681	P13574
P20434	P43573
P17442	P20052
P31377	P32381
P23201	P41832
Q12446	P32486
P39707	Q04675
P52918	P21268
P06701	P11938
P31377	P32566
P25632	P43609
Q04048	Q03654
P39517	P34230
P19073	P41832
Q00362	P54786
P11978	P11938
P39929	P52917
P31377	P32491
Q03337	Q03630
P43603	Q12446
P28004	Q12417
P40089	P57743
P32598	P43587
P25655	P46677
Q06648	P19073
Q03973	P39521
P25693	P17157
P06787	P27466
P29366	P39969
P38886	P38631
P32501	P09032
P33332	P19073
Q03497	P19073
P15891	P40494
P15891	P53974
P40089	P47017
P43621	P53847
P32563	Q3E752
P36077	P34760
P32793	Q12446
P32325	P54790
P53271	Q06096
P53973	Q06623
P16892	Q03373
P16370	P20436
Q03435	P38429
P38203	P40089
P38624	P25043
Q03195	Q05775
Q03835	P53082
P47123	P32836
P16892	P23561
P10869	P20081
P38203	P34230
Q03338	P20053
Q03337	P36149
P32494	Q02336
P25655	P34909
P46957	P47110
P38960	Q07921
P38874	Q06410
Q06406	P40070
P00128	P07257
Q04048	P21374
P04050	Q00416
Q04003	Q99314
P33334	Q00916
Q06263	P52917
Q06217	P54999
P48837	P14907
P38302	P32523
P32908	P47037
P41819	P24869
P39016	P11972
Q06406	P47017
P22289	P07143
P40089	P34230
Q12446	Q06449
P40016	Q06103
P52286	P39014
P32471	P02994
P31384	P06100
Q03435	P53115
Q03920	P53738
P15436	P46957
P34230	P53905
Q06406	P49960
P41811	P22276
P38692	Q08817
P40038	P17157
P47064	Q08951
P32569	P19880
P38203	P53550
P21374	Q03654
P32558	Q04636
P11076	P41810
P39743	P37370
P29366	P48562
P23201	P41697
P38682	P32074
P10863	P07257
Q06406	P40089
P52286	P42843
P40507	P53632
P25451	P25043
P38089	Q12447
P19262	P19955
P46962	P46963
P32379	P30656
P52286	P41695
P17890	P32910
P40357	Q12038
P52891	P49687
P10863	Q02555
P14681	Q03063
P38753	P40343
P11433	P18851
P08067	P08525
Q12309	Q03654
Q12059	Q99344
P34230	P53550
P38304	P38633
Q03373	P13574
P35182	Q12163
P43560	P00331
P42073	P32598
P19735	Q12420
P38822	Q12446
P22146	Q04894
P38146	P32864
P39081	P25298
P52490	P53152
P21243	P23638
P32639	P33334
Q03654	Q12417
P32381	P43612
P38041	P29366
P32914	P27692
Q02197	Q03503
P23337	P27472
P43573	P52553
P22141	P23638
P32366	P22203
P47093	P49960
P04050	P22139
P32790	P25369
P22141	P40303
P50942	Q06604
P21243	P38624
Q04199	Q12495
P41697	P23561
Q06631	P40079
P60010	P41832
P33334	P33203
P08004	P40164
P40060	Q12345
P32565	O13563
P00546	P39016
P49687	P35729
P00546	P24871
P00163	P08525
P00546	P24870
P35181	Q12028
Q03407	Q12230
P32790	P32793
P52286	P35203
P38204	P53437
P43603	Q06604
P21268	P18851
P14904	P35193
P06784	P23201
P38203	P47093
P40339	Q12050
P10591	P04821
P38334	Q03337
P14724	P53068
P53550	P06738
P25451	P30656
P20486	P00546
P38316	Q06410
P38042	P16522
Q03981	Q04368
P05453	P04147
P32497	P32911
Q05636	P46948
P38203	P57743
P46947	P40565
P18410	P38757
P38274	P34244
P36006	Q12446
P41808	P07257
P11076	P38682
Q12018	P52286
P07256	P07257
P23201	P32491
P53063	Q02792
P32569	Q99278
P17255	P32563
P32569	P38782
P00128	P08525
P53124	P17157
P38261	P22224
P39009	Q6Q5K6
P08678	P17555
P25655	P06100
P31384	P34909
P32790	P32521
P02294	P02309
P38822	P53933
Q00402	P32526
P38339	P46949
P38282	Q00723
P15873	P25336
P07256	P22289
P38692	P32464
P46676	P53685
Q99260	P36017
P22855	P35193
P40303	P30656
P32803	P32486
P24384	P15938
P38874	Q02516
P20434	P20435
P53550	Q12517
P16658	Q02825
P14724	P09798
P06782	P12904
P46677	P50105
P39940	P33338
Q08278	Q12343
P19735	Q06819
P32639	Q12420
P38968	Q04491
P32074	P53600
P38203	Q06406
Q06406	Q06217
P38261	Q00916
P26309	P34244
P10591	P25491
Q04031	P32598
P16649	P32561
P53949	P50946
P38203	P49960
P16370	P08518
Q06631	P48234
P32790	P43603
P32917	P23561
P31385	Q12432
P25336	P25847
P38339	P32381
P47093	P34230
P11433	P29366
Q12368	Q00723
P53271	P53959
P53124	P27472
P38633	Q12343
Q06406	P53905
P40070	P47093
P40070	P47017
P53040	Q05027
P23639	P21242
P06787	P14747
P47821	P39073
P16892	Q03063
P30657	P21243
Q04739	P12904
P12904	P34164
P00127	P07143
P38304	P32569
Q01649	P17119
