NAME	InducerComp_10x_RF_AT_-IFI
VAR	annotator	inducer	ontology	classifier
VAL	-IFI  	AC  	CC   	RF   
RES
OUT	1	1	0.2935	0.7065
OUT	1	1	0.1283	0.8717
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	1	0.1283	0.8717
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	1	0.0991	0.9009
OUT	1	1	0.1744	0.8256
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	1	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	1	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	1	1	0.1283	0.8717
OUT	1	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	1	0.2935	0.7065
OUT	1	1	0.2935	0.7065
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	0	0	0.6073	0.3927
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	0	0	0.6073	0.3927
OUT	0	1	0.0991	0.9009
OUT	0	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
OUT	0	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	1	0.0000	1.0000
OUT	0	1	0.2935	0.7065
OUT	1	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	0	0	0.6073	0.3927
OUT	1	1	0.2935	0.7065
OUT	0	0	0.6073	0.3927
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	1	0.2935	0.7065
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	1	1	0.1352	0.8648
OUT	0	0	0.5773	0.4227
OUT	1	0	0.6073	0.3927
OUT	1	0	0.5773	0.4227
OUT	1	0	0.5773	0.4227
OUT	0	0	0.5773	0.4227
OUT	0	0	0.6073	0.3927
RES
OUT	0	0	0.5463	0.4537
OUT	1	1	0.2737	0.7263
OUT	1	1	0.2737	0.7263
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	1	0.2737	0.7263
OUT	1	1	0.2737	0.7263
OUT	0	0	0.5463	0.4537
OUT	1	1	0.0000	1.0000
OUT	0	0	0.5463	0.4537
OUT	1	1	0.1275	0.8725
OUT	0	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	1	1	0.1139	0.8861
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	1	0.2737	0.7263
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.6286	0.3714
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	1	0.2737	0.7263
OUT	0	0	0.5463	0.4537
OUT	1	1	0.0000	1.0000
OUT	0	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5087	0.4913
OUT	0	0	0.5463	0.4537
OUT	1	1	0.2766	0.7234
OUT	1	0	0.5463	0.4537
OUT	0	0	0.6286	0.3714
OUT	0	1	0.2737	0.7263
OUT	1	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	1	0.2737	0.7263
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	1	1	0.2737	0.7263
OUT	1	1	0.0000	1.0000
OUT	0	1	0.2737	0.7263
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	0	0	0.5463	0.4537
OUT	1	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	1	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
OUT	0	0	0.6286	0.3714
OUT	0	0	0.5463	0.4537
RES
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	0	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	0	0	0.6139	0.3861
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	1	0.3001	0.6999
OUT	1	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	1	0	0.6139	0.3861
OUT	1	0	0.6139	0.3861
OUT	0	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	1	0.0000	1.0000
OUT	0	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	1	1	0.3001	0.6999
OUT	1	1	0.3001	0.6999
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.8745	0.1255
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	1	0.3001	0.6999
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	0	0.6139	0.3861
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	1	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	1	0	0.6139	0.3861
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.6139	0.3861
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	0	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	1	0.0618	0.9382
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
OUT	0	0	0.5766	0.4234
OUT	0	0	0.6139	0.3861
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	0	1	0.0618	0.9382
OUT	1	1	0.3001	0.6999
OUT	0	0	0.5766	0.4234
OUT	0	0	0.6139	0.3861
OUT	1	1	0.1188	0.8812
OUT	0	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	0	0.6139	0.3861
OUT	1	1	0.3001	0.6999
OUT	1	0	0.5766	0.4234
OUT	0	0	0.5766	0.4234
OUT	1	0	0.5766	0.4234
OUT	1	1	0.3001	0.6999
RES
OUT	0	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5600	0.4400
OUT	1	1	0.2739	0.7261
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5822	0.4178
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	1	0	0.5822	0.4178
OUT	1	1	0.2826	0.7174
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	1	0.1297	0.8703
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	1	1	0.0089	0.9911
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	1	0	0.5600	0.4400
OUT	0	0	0.5822	0.4178
OUT	0	0	0.5822	0.4178
OUT	1	1	0.0747	0.9253
OUT	0	0	0.5600	0.4400
OUT	1	1	0.2826	0.7174
OUT	0	0	0.5600	0.4400
