NAME	InducerComp_4x_10N_RF_YC_-IFI
VAR	binary	inducer	ontology	classifier
VAL	BIN	AL  	BP|CC|MF	RF   
RES
OUT	0	0	0.8550	0.1450
OUT	0	0	0.7150	0.2850
OUT	0	1	0.3950	0.6050
OUT	0	0	0.6200	0.3800
OUT	0	1	0.4600	0.5400
OUT	0	1	0.3250	0.6750
OUT	0	0	0.5500	0.4500
OUT	0	1	0.3200	0.6800
OUT	1	1	0.0150	0.9850
OUT	0	1	0.4950	0.5050
OUT	0	0	0.7102	0.2898
OUT	0	0	0.5200	0.4800
OUT	0	0	0.8150	0.1850
OUT	0	0	0.5800	0.4200
OUT	0	1	0.0300	0.9700
OUT	0	1	0.3600	0.6400
OUT	0	0	0.6650	0.3350
OUT	0	1	0.3700	0.6300
OUT	0	0	0.5900	0.4100
OUT	0	0	0.6150	0.3850
OUT	0	1	0.1650	0.8350
OUT	0	0	0.7450	0.2550
OUT	0	0	0.5300	0.4700
OUT	0	0	0.7650	0.2350
OUT	0	0	0.7000	0.3000
OUT	0	0	0.7450	0.2550
OUT	0	0	0.8050	0.1950
OUT	0	0	0.8721	0.1279
OUT	0	0	0.7550	0.2450
OUT	0	1	0.3900	0.6100
OUT	0	0	0.5062	0.4938
OUT	0	1	0.3050	0.6950
OUT	0	0	0.8850	0.1150
OUT	0	0	0.7000	0.3000
OUT	0	0	0.8382	0.1618
OUT	0	0	0.9000	0.1000
OUT	0	1	0.1100	0.8900
OUT	0	1	0.3750	0.6250
OUT	0	1	0.2200	0.7800
OUT	0	0	0.8113	0.1888
OUT	0	0	0.7800	0.2200
OUT	0	0	0.5150	0.4850
OUT	0	1	0.3950	0.6050
OUT	0	0	0.9685	0.0315
OUT	0	1	0.3400	0.6600
OUT	0	0	0.8600	0.1400
OUT	1	1	0.0500	0.9500
OUT	0	0	0.5800	0.4200
OUT	0	1	0.3100	0.6900
OUT	0	1	0.2350	0.7650
OUT	0	1	0.4650	0.5350
OUT	0	0	0.6700	0.3300
OUT	0	0	0.7900	0.2100
OUT	1	1	0.3650	0.6350
OUT	1	1	0.1350	0.8650
OUT	0	0	0.5150	0.4850
OUT	0	0	0.6400	0.3600
OUT	0	0	0.6450	0.3550
OUT	0	0	0.5400	0.4600
OUT	0	0	0.5050	0.4950
OUT	0	1	0.1400	0.8600
OUT	0	0	0.6050	0.3950
OUT	0	0	0.7600	0.2400
OUT	0	1	0.3950	0.6050
OUT	0	0	0.5700	0.4300
OUT	0	1	0.2950	0.7050
OUT	0	1	0.1100	0.8900
OUT	0	0	0.7622	0.2378
OUT	0	0	0.7695	0.2305
OUT	1	0	0.5350	0.4650
OUT	0	0	0.7250	0.2750
OUT	1	1	0.1200	0.8800
OUT	0	0	0.6600	0.3400
OUT	0	1	0.2100	0.7900
OUT	0	0	0.5100	0.4900
OUT	0	0	0.6750	0.3250
OUT	0	1	0.4900	0.5100
OUT	0	1	0.2950	0.7050
OUT	0	0	0.6350	0.3650
OUT	0	1	0.4400	0.5600
OUT	0	0	0.6067	0.3933
OUT	0	1	0.3700	0.6300
OUT	0	1	0.4750	0.5250
OUT	0	1	0.1950	0.8050
OUT	0	1	0.3950	0.6050
OUT	0	0	0.8250	0.1750
OUT	0	0	0.6850	0.3150
OUT	0	1	0.3500	0.6500
OUT	0	1	0.1450	0.8550
OUT	0	0	0.5200	0.4800
OUT	0	0	0.5350	0.4650
OUT	1	0	0.5800	0.4200
OUT	0	0	0.5500	0.4500
OUT	0	0	0.5150	0.4850
OUT	0	1	0.4750	0.5250
OUT	0	0	0.6500	0.3500
OUT	0	1	0.3950	0.6050
OUT	0	0	0.9685	0.0315
OUT	0	1	0.4750	0.5250
OUT	0	0	0.7400	0.2600
OUT	0	0	0.5800	0.4200
OUT	0	1	0.4450	0.5550
OUT	0	0	0.6100	0.3900
OUT	0	0	0.8300	0.1700
OUT	0	0	0.7250	0.2750
OUT	0	1	0.3100	0.6900
OUT	0	1	0.0350	0.9650
OUT	0	1	0.4000	0.6000
OUT	0	0	0.5200	0.4800
OUT	0	1	0.0250	0.9750
OUT	1	1	0.3350	0.6650
OUT	0	0	0.8850	0.1150
OUT	0	0	0.7450	0.2550
OUT	0	0	0.7350	0.2650
OUT	0	1	0.3100	0.6900
OUT	0	1	0.2450	0.7550
OUT	0	1	0.4100	0.5900
OUT	0	0	0.7400	0.2600
OUT	0	1	0.3600	0.6400
OUT	0	1	0.4000	0.6000
OUT	0	0	0.7150	0.2850
OUT	0	1	0.3300	0.6700
OUT	0	0	0.6802	0.3198
OUT	0	0	0.5000	0.5000
OUT	0	0	0.7600	0.2400
OUT	0	0	0.6425	0.3575
OUT	0	0	0.5400	0.4600
OUT	0	0	0.5200	0.4800
OUT	0	1	0.3050	0.6950
OUT	0	0	0.6950	0.3050
OUT	0	0	0.5150	0.4850
OUT	0	0	0.6350	0.3650
OUT	0	0	0.5550	0.4450
OUT	0	0	0.6784	0.3216
OUT	0	1	0.3150	0.6850
OUT	0	0	0.8400	0.1600
OUT	0	0	0.5861	0.4139
OUT	0	0	0.6770	0.3230
OUT	0	1	0.3800	0.6200
OUT	1	1	0.0200	0.9800
OUT	0	1	0.3550	0.6450
OUT	0	0	0.6450	0.3550
OUT	0	0	0.8250	0.1750
OUT	0	0	0.8400	0.1600
OUT	0	1	0.1950	0.8050
OUT	0	1	0.3950	0.6050
OUT	0	0	0.7850	0.2150
OUT	0	0	0.7400	0.2600
OUT	0	1	0.0950	0.9050
OUT	0	1	0.4850	0.5150
OUT	0	0	0.5850	0.4150
OUT	0	0	0.7350	0.2650
OUT	0	0	0.9450	0.0550
OUT	0	0	0.6850	0.3150
OUT	1	1	0.0650	0.9350
OUT	0	1	0.2873	0.7127
OUT	0	0	0.8250	0.1750
OUT	0	0	0.7450	0.2550
OUT	0	0	0.5050	0.4950
OUT	0	0	0.5861	0.4139
OUT	0	1	0.4050	0.5950
OUT	0	0	0.9450	0.0550
OUT	0	0	0.8450	0.1550
OUT	0	1	0.3950	0.6050
OUT	0	1	0.2900	0.7100
OUT	0	1	0.1900	0.8100
OUT	0	0	0.7400	0.2600
OUT	0	0	0.5250	0.4750
OUT	0	0	0.5050	0.4950
OUT	0	1	0.1050	0.8950
OUT	1	1	0.1379	0.8621
OUT	0	0	0.8050	0.1950
OUT	0	1	0.4100	0.5900
OUT	0	0	0.5950	0.4050
OUT	0	0	0.5550	0.4450
OUT	0	0	0.7000	0.3000
OUT	0	0	0.7377	0.2623
OUT	0	0	0.7150	0.2850
OUT	1	1	0.0500	0.9500
OUT	0	0	0.5950	0.4050
OUT	0	0	0.5000	0.5000
OUT	0	1	0.2800	0.7200
OUT	0	1	0.4450	0.5550
OUT	0	0	0.5250	0.4750
OUT	0	1	0.3650	0.6350
OUT	0	1	0.3700	0.6300
OUT	0	0	0.8350	0.1650
OUT	0	0	0.7300	0.2700
OUT	0	0	0.5850	0.4150
OUT	0	0	0.7650	0.2350
OUT	1	1	0.4100	0.5900
OUT	0	0	0.5325	0.4675
OUT	1	1	0.0450	0.9550
OUT	0	1	0.4250	0.5750
OUT	1	0	0.7450	0.2550
OUT	0	0	0.7450	0.2550
OUT	0	0	0.7246	0.2754
OUT	1	0	0.5700	0.4300
OUT	0	0	0.6183	0.3817
OUT	0	0	0.7200	0.2800
OUT	0	0	0.8650	0.1350
OUT	0	1	0.2850	0.7150
OUT	0	0	0.7600	0.2400
OUT	0	1	0.2050	0.7950
OUT	0	0	0.6350	0.3650
OUT	1	1	0.0050	0.9950
OUT	0	0	0.7550	0.2450
OUT	0	0	0.7650	0.2350
OUT	0	1	0.4100	0.5900
OUT	0	1	0.4895	0.5105
OUT	0	0	0.5400	0.4600
OUT	0	0	0.5750	0.4250
OUT	0	0	0.7150	0.2850
OUT	0	0	0.7950	0.2050
OUT	0	0	0.8500	0.1500
OUT	0	0	0.9731	0.0269
OUT	0	1	0.4750	0.5250
OUT	1	1	0.4400	0.5600
OUT	0	0	0.8350	0.1650
OUT	0	0	0.5700	0.4300
OUT	0	1	0.3100	0.6900
OUT	0	0	0.7050	0.2950
OUT	0	1	0.3118	0.6882
OUT	1	1	0.0050	0.9950
OUT	0	0	0.6300	0.3700
OUT	0	1	0.2350	0.7650
OUT	1	1	0.0150	0.9850
OUT	0	0	0.7664	0.2336
OUT	0	0	0.7300	0.2700
OUT	1	1	0.1650	0.8350
OUT	0	0	0.9550	0.0450
OUT	1	1	0.0000	1.0000
OUT	0	0	0.6450	0.3550
OUT	0	0	0.5850	0.4150
