NAME	InducerComp_5x_NB_AB_-IFI
VAR	binary	inducer	ontology	classifier
VAL	BIN	ULCA	BP|CC|MF	NB   
RES
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0221	0.9779
OUT	0	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	0.9999	0.0001
OUT	1	0	0.7123	0.2877
OUT	0	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	1	0	0.7207	0.2793
OUT	1	1	0.0013	0.9987
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0001	0.9999
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	0.9782	0.0218
OUT	0	0	0.9997	0.0003
OUT	1	0	0.9134	0.0866
OUT	0	1	0.0000	1.0000
OUT	1	0	0.9981	0.0019
OUT	0	0	0.6153	0.3847
OUT	0	0	0.7610	0.2390
OUT	0	0	0.9782	0.0218
OUT	0	1	0.4200	0.5800
OUT	1	1	0.0000	1.0000
OUT	0	1	0.0006	0.9994
OUT	0	0	1.0000	0.0000
OUT	0	1	0.0000	1.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9998	0.0002
OUT	1	0	0.9065	0.0935
OUT	1	0	0.9995	0.0005
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0030	0.9970
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9484	0.0516
OUT	0	1	0.0009	0.9991
OUT	0	0	0.8534	0.1466
OUT	1	0	0.9995	0.0005
OUT	0	0	0.7692	0.2308
OUT	1	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	0.6593	0.3407
OUT	1	1	0.0208	0.9792
OUT	0	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	1	1	0.2125	0.7875
OUT	0	0	1.0000	0.0000
OUT	0	1	0.0350	0.9650
OUT	0	1	0.0020	0.9980
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	0.9451	0.0549
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0888	0.9112
OUT	0	0	1.0000	0.0000
OUT	1	0	0.9994	0.0006
OUT	0	1	0.0408	0.9592
OUT	1	1	0.0000	1.0000
OUT	0	1	0.0000	1.0000
OUT	1	0	1.0000	0.0000
OUT	0	1	0.0616	0.9384
OUT	0	0	1.0000	0.0000
OUT	1	0	0.9996	0.0004
OUT	0	0	0.9979	0.0021
OUT	0	0	0.9999	0.0001
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9982	0.0018
OUT	0	0	1.0000	0.0000
OUT	1	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	1	1	0.2030	0.7970
OUT	1	0	1.0000	0.0000
OUT	0	0	0.9992	0.0008
OUT	1	1	0.0000	1.0000
OUT	0	1	0.2175	0.7825
OUT	1	1	0.3786	0.6214
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9900	0.0100
OUT	0	0	1.0000	0.0000
OUT	1	0	0.9781	0.0219
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	1	0	0.9862	0.0138
OUT	0	0	0.9122	0.0878
OUT	0	0	1.0000	0.0000
OUT	0	0	0.7505	0.2495
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5223	0.4777
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0525	0.9475
OUT	1	1	0.0000	1.0000
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0000	1.0000
OUT	1	0	0.5072	0.4928
OUT	1	1	0.3776	0.6224
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9999	0.0001
OUT	1	1	0.0000	1.0000
OUT	1	0	0.8122	0.1878
OUT	0	0	1.0000	0.0000
OUT	1	0	0.9953	0.0047
OUT	1	1	0.0001	0.9999
OUT	1	1	0.0000	1.0000
OUT	0	0	0.9479	0.0521
OUT	1	1	0.0000	1.0000
OUT	0	0	1.0000	0.0000
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0000	1.0000
OUT	1	0	0.9740	0.0260
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	0	0	0.9989	0.0011
