NAME	InducerComp_5x_RF_AB_-IFI
VAR	binary	inducer	ontology	classifier
VAL	BIN	ULCA	BP|CC|MF	RF   
RES
OUT	1	1	0.3200	0.6800
OUT	0	0	0.6100	0.3900
OUT	1	1	0.0200	0.9800
OUT	0	0	0.6592	0.3408
OUT	1	0	0.8564	0.1436
OUT	1	1	0.2550	0.7450
OUT	1	0	0.7829	0.2171
OUT	0	0	0.6475	0.3525
OUT	0	0	0.6674	0.3326
OUT	1	0	0.7700	0.2300
OUT	0	0	0.8150	0.1850
OUT	0	0	0.7100	0.2900
OUT	1	0	0.6775	0.3225
OUT	0	0	0.7200	0.2800
OUT	1	1	0.2450	0.7550
OUT	1	0	0.7543	0.2458
OUT	1	0	0.8200	0.1800
OUT	0	0	0.8021	0.1979
OUT	0	1	0.2800	0.7200
OUT	1	0	0.5790	0.4210
OUT	1	0	0.7950	0.2050
OUT	1	1	0.0050	0.9950
OUT	0	1	0.2750	0.7250
OUT	0	0	0.8150	0.1850
OUT	0	1	0.3927	0.6073
OUT	0	0	0.7083	0.2917
OUT	0	0	0.9750	0.0250
OUT	0	0	0.8475	0.1525
OUT	1	1	0.0350	0.9650
OUT	0	0	0.7358	0.2642
OUT	0	0	0.6700	0.3300
OUT	0	1	0.4700	0.5300
OUT	1	0	0.8800	0.1200
OUT	0	0	0.8200	0.1800
OUT	1	0	0.6025	0.3975
OUT	1	1	0.4283	0.5717
OUT	0	0	0.9175	0.0825
OUT	0	0	1.0000	0.0000
OUT	1	1	0.2450	0.7550
OUT	1	0	0.7800	0.2200
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0150	0.9850
OUT	0	0	0.7475	0.2525
OUT	1	1	0.3700	0.6300
OUT	0	0	0.7042	0.2958
OUT	1	1	0.0050	0.9950
OUT	0	0	0.8779	0.1221
OUT	1	1	0.1000	0.9000
OUT	0	0	0.9225	0.0775
OUT	0	0	0.5253	0.4747
OUT	1	1	0.1337	0.8663
OUT	1	1	0.0600	0.9400
OUT	1	0	0.5325	0.4675
OUT	0	0	0.9038	0.0962
OUT	0	0	0.8500	0.1500
OUT	1	1	0.0850	0.9150
OUT	0	0	0.6700	0.3300
OUT	0	0	0.7567	0.2433
OUT	0	0	0.5482	0.4518
OUT	0	0	0.7475	0.2525
OUT	1	1	0.2000	0.8000
OUT	1	1	0.0850	0.9150
OUT	0	0	0.8300	0.1700
OUT	0	0	0.5863	0.4138
OUT	1	1	0.0100	0.9900
OUT	1	0	0.7958	0.2042
OUT	0	0	0.9450	0.0550
OUT	0	0	0.9158	0.0842
OUT	1	1	0.3000	0.7000
OUT	0	0	0.8750	0.1250
OUT	1	1	0.0100	0.9900
