NAME	InducerComp_5x_RF_AB_REL_-IFI
VAR	binary	inducer	ontology	classifier
VAL	BIN	AL  	CC     	RF   
RES
OUT	0	1	0.1600	0.8400
OUT	0	0	0.9600	0.0400
OUT	0	1	0.1350	0.8650
OUT	0	1	0.0050	0.9950
OUT	0	0	0.6776	0.3224
OUT	0	1	0.1431	0.8569
OUT	0	0	0.8450	0.1550
OUT	1	1	0.0650	0.9350
OUT	0	0	0.6100	0.3900
OUT	1	0	0.9850	0.0150
OUT	0	1	0.0200	0.9800
OUT	1	0	0.7600	0.2400
OUT	1	1	0.0000	1.0000
OUT	0	1	0.4800	0.5200
OUT	1	1	0.3450	0.6550
OUT	1	1	0.0150	0.9850
OUT	1	1	0.0000	1.0000
OUT	0	0	0.7901	0.2099
OUT	0	0	0.6400	0.3600
OUT	1	1	0.1880	0.8120
OUT	1	1	0.0550	0.9450
OUT	1	0	0.6550	0.3450
OUT	1	1	0.1750	0.8250
OUT	0	1	0.1451	0.8549
OUT	1	1	0.0050	0.9950
OUT	1	1	0.0300	0.9700
OUT	1	1	0.0150	0.9850
OUT	0	1	0.1150	0.8850
OUT	1	0	0.9350	0.0650
OUT	0	1	0.1322	0.8678
OUT	1	0	0.5400	0.4600
OUT	1	1	0.0200	0.9800
OUT	1	0	0.9500	0.0500
OUT	0	0	0.8373	0.1627
OUT	1	1	0.0000	1.0000
OUT	0	0	0.7428	0.2572
OUT	1	1	0.3408	0.6592
OUT	0	1	0.1617	0.8383
OUT	1	0	0.7800	0.2200
OUT	0	1	0.1500	0.8500
OUT	1	1	0.0000	1.0000
OUT	0	1	0.3800	0.6200
OUT	1	1	0.3400	0.6600
OUT	0	0	0.7000	0.3000
OUT	1	1	0.2850	0.7150
OUT	1	1	0.4673	0.5327
OUT	1	1	0.0000	1.0000
OUT	0	1	0.3450	0.6550
OUT	0	0	0.9450	0.0550
OUT	1	1	0.1104	0.8896
OUT	0	1	0.2720	0.7280
OUT	1	1	0.0000	1.0000
OUT	0	1	0.0050	0.9950
OUT	0	0	0.9118	0.0882
OUT	0	1	0.4350	0.5650
OUT	1	1	0.4450	0.5550
OUT	0	1	0.0050	0.9950
OUT	1	1	0.3697	0.6303
OUT	0	1	0.2089	0.7911
OUT	0	1	0.4934	0.5066
OUT	1	1	0.0000	1.0000
OUT	1	1	0.1682	0.8318
OUT	0	0	0.5095	0.4905
OUT	1	1	0.0000	1.0000
OUT	0	1	0.3450	0.6550
OUT	1	0	0.8900	0.1100
OUT	0	1	0.1792	0.8208
OUT	1	1	0.4800	0.5200
OUT	0	0	0.8850	0.1150
OUT	0	1	0.3950	0.6050
OUT	1	1	0.3250	0.6750
OUT	0	1	0.2850	0.7150
OUT	0	1	0.4746	0.5254
OUT	0	0	0.7250	0.2750
OUT	1	1	0.2850	0.7150
OUT	1	1	0.2097	0.7903
OUT	1	1	0.3550	0.6450
OUT	0	1	0.1650	0.8350
OUT	0	1	0.0000	1.0000
OUT	0	1	0.0100	0.9900
OUT	1	1	0.3700	0.6300
OUT	0	0	0.7450	0.2550
OUT	1	0	0.6100	0.3900
OUT	0	1	0.1550	0.8450
OUT	1	1	0.0014	0.9986
OUT	0	1	0.2097	0.7903
OUT	0	0	0.6398	0.3602
OUT	1	1	0.2400	0.7600
OUT	0	0	0.5212	0.4788
OUT	0	0	0.7857	0.2143
OUT	1	1	0.0150	0.9850
OUT	1	1	0.3659	0.6341
OUT	0	1	0.1153	0.8847
OUT	0	1	0.0882	0.9118
OUT	1	1	0.0100	0.9900
OUT	0	1	0.2450	0.7550
OUT	1	1	0.0000	1.0000
OUT	1	1	0.0000	1.0000
OUT	0	1	0.4053	0.5947
OUT	1	1	0.0350	0.9650
OUT	1	0	0.6150	0.3850
OUT	1	1	0.0000	1.0000
OUT	1	1	0.2288	0.7713
OUT	1	1	0.0450	0.9550
OUT	0	1	0.1534	0.8466
OUT	1	1	0.1889	0.8111
OUT	0	0	0.5378	0.4622
OUT	1	1	0.1889	0.8111
OUT	1	1	0.3150	0.6850
OUT	1	1	0.0450	0.9550
OUT	0	1	0.4356	0.5644
OUT	0	0	0.5812	0.4188
OUT	1	1	0.0000	1.0000
OUT	0	0	0.7553	0.2447
OUT	0	1	0.2700	0.7300
OUT	1	1	0.0000	1.0000
OUT	0	1	0.0150	0.9850
OUT	1	1	0.2050	0.7950
