NAME	OntoIntegration_4x_NB_YC_+IFI
VAR	binary	inducer	ontology	classifier
VAL	BIN	ULCA	CC     	NB   
RES
OUT	1	1	0.0022	0.9978
OUT	0	0	0.9988	0.0012
OUT	1	1	0.0013	0.9987
OUT	1	1	0.1015	0.8985
OUT	0	0	1.0000	0.0000
OUT	1	0	0.9999	0.0001
OUT	1	1	0.0018	0.9982
OUT	0	0	0.9893	0.0107
OUT	1	1	0.0051	0.9949
OUT	0	1	0.2258	0.7742
OUT	0	0	0.9211	0.0789
OUT	1	1	0.0023	0.9977
OUT	1	1	0.0005	0.9995
OUT	1	1	0.4510	0.5490
OUT	0	0	0.9989	0.0011
OUT	0	1	0.1551	0.8449
OUT	0	0	0.9987	0.0013
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0023	0.9977
OUT	1	1	0.0013	0.9987
OUT	0	0	0.9621	0.0379
OUT	0	0	0.9991	0.0009
OUT	0	0	0.9833	0.0167
OUT	1	1	0.0042	0.9958
OUT	1	1	0.0501	0.9499
OUT	0	1	0.1814	0.8186
OUT	1	0	0.9451	0.0549
OUT	1	1	0.0846	0.9154
OUT	1	0	0.8856	0.1144
OUT	0	0	0.9741	0.0259
OUT	1	1	0.0016	0.9984
OUT	1	1	0.0015	0.9985
OUT	0	0	1.0000	0.0000
OUT	0	1	0.0261	0.9739
OUT	1	0	0.9998	0.0002
OUT	0	1	0.4902	0.5098
OUT	1	1	0.0025	0.9975
OUT	1	1	0.0007	0.9993
OUT	1	0	0.9996	0.0004
OUT	1	1	0.0030	0.9970
OUT	0	0	0.9912	0.0088
OUT	1	1	0.0016	0.9984
OUT	0	1	0.1260	0.8740
OUT	0	1	0.1305	0.8695
OUT	0	0	0.9931	0.0069
OUT	0	1	0.2960	0.7040
OUT	0	1	0.1765	0.8235
OUT	0	1	0.0150	0.9850
OUT	1	1	0.0035	0.9965
OUT	1	0	0.9192	0.0808
OUT	0	0	1.0000	0.0000
OUT	0	0	0.9945	0.0055
OUT	1	0	0.9999	0.0001
OUT	0	0	0.8847	0.1153
OUT	0	0	0.9589	0.0411
OUT	0	0	0.7237	0.2763
OUT	0	0	0.9908	0.0092
OUT	1	0	0.8541	0.1459
OUT	0	0	0.8433	0.1567
OUT	0	0	0.9876	0.0124
OUT	1	1	0.0028	0.9972
OUT	0	0	0.9940	0.0060
OUT	1	1	0.0041	0.9959
OUT	1	1	0.0001	0.9999
OUT	1	1	0.0421	0.9579
OUT	0	1	0.0877	0.9123
OUT	0	0	0.5965	0.4035
OUT	1	1	0.0025	0.9975
OUT	0	0	0.9371	0.0629
OUT	1	1	0.0515	0.9485
OUT	1	0	0.9997	0.0003
OUT	1	1	0.0019	0.9981
OUT	1	0	0.9913	0.0087
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0027	0.9973
OUT	1	1	0.0020	0.9980
OUT	1	1	0.4076	0.5924
OUT	1	1	0.0008	0.9992
OUT	0	0	0.5002	0.4998
OUT	0	0	0.9827	0.0173
OUT	1	0	0.9805	0.0195
OUT	1	0	0.5758	0.4242
OUT	0	0	0.9952	0.0048
OUT	1	0	0.6817	0.3183
OUT	0	0	0.8654	0.1346
OUT	1	0	1.0000	0.0000
OUT	1	0	0.6552	0.3448
OUT	1	1	0.0022	0.9978
OUT	1	1	0.0024	0.9976
OUT	1	0	0.7432	0.2568
OUT	1	0	0.9992	0.0008
OUT	1	1	0.0073	0.9927
OUT	1	1	0.0005	0.9995
OUT	1	0	0.8363	0.1637
OUT	1	1	0.0196	0.9804
OUT	0	0	0.9976	0.0024
OUT	1	1	0.0004	0.9996
OUT	0	0	0.9524	0.0476
OUT	0	1	0.1939	0.8061
OUT	1	1	0.0024	0.9976
OUT	0	0	0.9995	0.0005
OUT	0	0	1.0000	0.0000
OUT	1	1	0.0020	0.9980
OUT	1	1	0.0111	0.9889
OUT	1	1	0.0019	0.9981
OUT	1	0	0.9717	0.0283
OUT	0	0	0.9999	0.0001
OUT	1	1	0.0023	0.9977
OUT	0	0	0.9995	0.0005
OUT	1	0	0.5224	0.4776
OUT	0	0	0.9995	0.0005
OUT	1	1	0.0022	0.9978
OUT	1	0	0.9723	0.0277
OUT	1	0	0.6184	0.3816
OUT	1	1	0.0088	0.9912
OUT	1	0	0.9975	0.0025
OUT	1	1	0.1748	0.8252
OUT	1	1	0.0005	0.9995
OUT	0	0	0.7700	0.2300
OUT	0	0	0.9994	0.0006
OUT	0	1	0.4700	0.5300
OUT	0	0	0.9996	0.0004
OUT	0	0	0.9930	0.0070
OUT	0	0	0.9983	0.0017
OUT	1	1	0.4063	0.5937
OUT	0	0	0.9954	0.0046
OUT	0	0	1.0000	0.0000
OUT	0	0	0.7239	0.2761
OUT	1	0	0.9944	0.0056
OUT	1	1	0.0015	0.9985
OUT	0	0	0.9959	0.0041
OUT	0	0	0.9985	0.0015
OUT	0	1	0.1917	0.8083
OUT	1	1	0.0113	0.9887
OUT	1	1	0.0019	0.9981
OUT	1	1	0.0022	0.9978
OUT	0	1	0.0073	0.9927
OUT	0	0	0.9989	0.0011
OUT	0	0	0.9966	0.0034
OUT	0	0	0.8984	0.1016
OUT	1	1	0.1903	0.8097
OUT	1	0	0.9930	0.0070
OUT	0	0	0.7046	0.2954
OUT	1	1	0.0095	0.9905
OUT	1	1	0.0015	0.9985
OUT	1	0	0.9348	0.0652
OUT	0	0	0.9800	0.0200
OUT	0	0	0.7894	0.2106
OUT	1	1	0.0003	0.9997
OUT	1	0	0.9523	0.0477
OUT	0	0	0.9447	0.0553
OUT	1	0	0.6772	0.3228
OUT	0	0	0.9593	0.0407
