D3DSZ1	O43236
P07766	Q8WTY5
P08637	P28907
A8K881	P04150
Q15831	Q15831
Q9NYF8	Q6FI02
D3DNF7	D3DWG3
O75376	Q5T5H7
Q92973	Q92973
Q9NZH6	Q13478
Q9BZB8	Q8IUX2
D3DNI4	P46783
P56192	Q9BUJ2
Q07812	Q5TZN6
Q8TDB6	Q8TDB6
Q9NR28	O15392
B4DG66	P10415
P09012	P09012
Q658P3	Q6IBV1
Q13702	B0LPF3
Q53XS4	P42702
D3DQY2	P29083
O95886	D3DST0
P27694	Q13228
B3KN41	B3KN41
Q9UFN0	B3KNK9
Q9UNK0	Q9P253
A4D0W0	Q8IU67
B3KWD0	Q6NT97
P36957	Q9H6F5
P08173	B0LPF3
Q3LRW3	P27694
Q13114	P25942
Q92786	Q4LE28
Q16740	Q16740
D3DR16	Q15008
Q9Y4A5	Q8TAX8
Q9NVC6	Q15528
Q9UD71	Q8NCQ8
Q4W597	O43765
P05386	Q6IBB3
Q16270	Q6ICR7
Q99750	O60269
Q13416	P49736
P10109	P10109
B4DIW5	Q05DE9
P38432	P24864
Q9H0K1	Q53ET0
Q13137	Q53FD0
Q8IYN9	A8K4G2
Q02446	P08047
P08246	P03973
P61218	Q6FGR6
D3DTN3	D3DTN3
Q8NFH4	Q8TEA6
P10912	B1A4H7
Q86UL8	Q86UL8
Q9Y6K8	Q9H1E3
P04792	Q5RL73
P43364	Q6FGA0
D3DQU0	D3DRY4
Q9BSI4	Q96AP0
P23458	Q6FI39
Q6PHZ7	Q9NUA2
Q6ICU9	O95251
Q99466	Q9NPV6
P27797	D3DSD3
Q9NUA2	Q6IN79
Q6FI05	Q8IYF3
D3DW70	O95707
P40238	Q9P084
Q6FIE9	Q6FIE9
Q53XL8	Q96IF9
B8A4U7	Q15038
A8K2G2	Q5T5H7
Q96RK0	Q9HC77
Q4JHT5	B7WPD3
P28360	Q3LRW3
D3DSA7	P08047
B2R5Q7	D3DVU0
P37198	Q96QU8
A6NLR5	P14373
Q6ZWF5	Q6ZWF5
B1AHC8	Q58F05
Q9BQA5	Q9UBB5
Q14286	Q8NI22
Q59FC3	D3DRD0
Q6IBB3	Q96HD1
Q05C41	P26368
Q13094	Q8WV28
Q6P2C8	A0JLT2
O14925	O60830
Q12923	B3KQL5
Q59FC3	Q9H7E9
Q9UF51	D3DST0
Q5W141	D3DR83
Q9BUH8	Q9H0I2
D3DVV8	Q7Z763
O15457	P61758
O15151	Q00987
Q9Y5K6	B4DIW5
Q6ZN44	Q9Y5V3
D3DUD5	Q53YD7
O43708	P48637
P28715	P18074
Q15788	Q5STP9
Q8WZ19	Q96E35
P21675	Q00987
Q8WY44	O43251
Q6IQ28	O14544
Q99689	P42858
Q5DR82	Q92889
P23352	Q6PIS6
Q99547	Q8N392
D3DW08	P33993
P16471	P16471
Q05086	P33993
Q96FE5	D3DX28
Q13573	P12755
Q96SB4	Q71RF1
A8K9A6	Q13098
Q5BKU3	O14965
P35869	Q5T5H7
P19838	Q15653
D3DRU5	O60220
Q14582	Q8TAX8
Q8N589	D3DV04
Q9UBZ9	D3DR76
Q6MZU1	Q3SWS6
Q6ZQV4	P53041
Q9Y620	B3KQ49
Q5RKV6	D3DRS0
Q05C41	Q8N2Y6
B3KU66	D3DPP3
Q8NBH6	Q59FG9
Q9BTB0	Q6PKX4
Q9UER7	D2JYI1
Q05C41	Q8N8S7
O60832	O95372
P23510	P43489
Q8N5H7	O43281
Q96KQ4	Q9H3D4
Q14790	O75925
Q16787	Q13751
Q6ICU9	Q86TW5
Q8WXD5	P62316
Q53QF9	Q53QF9
P01135	O14672
O60494	P02774
P06401	Q9NR55
Q6RW13	Q53YY0
D3DVV8	D3DVV8
Q03154	Q03154
Q7Z769	Q13126
Q05655	P18433
D3DNI4	Q05DP8
Q15041	D3DX43
Q14632	Q6NSJ8
Q53G78	Q05C41
P15927	B3KNK9
O43353	Q5VUF1
Q9UJU5	D2IYK3
Q14790	A8K107
Q99856	D3DPG3
B3KU66	Q6P2Q9
P48643	P17987
A7E2E1	P26232
D3DVV8	Q13144
O43318	Q5VUF1
Q9P2R6	O43251
Q9UM02	B0ZBE2
Q99418	P36406
Q9UQB3	Q14247
O77932	Q9H0D6
Q15744	Q9UBW7
Q86U70	D3DT23
Q96S55	A4D2J4
B2R526	P02652
O15169	P25054
D3DVC0	P08047
Q9NV58	Q9UMX1
O95721	Q29VG3
Q92843	B3KT21
O75822	Q9Y5V3
Q96FF1	O75909
Q96FF1	Q96IP4
Q99741	D3DQ34
B3KT07	Q9NXU5
P13686	Q4W597
Q07075	Q6FG82
Q86WQ0	Q6PHZ7
Q13976	B2RAH5
Q15542	P49848
D3DVR9	Q8IUA4
P50613	D3DQY2
A8K0V9	Q5T782
Q6FGM0	Q7L190
Q6FI39	Q99062
P55211	P55211
A8K5Q5	Q15038
Q9Y5B0	P30876
P24928	O96019
D1CS53	O43353
P61604	B3KT07
Q53HE2	Q9Y234
O94812	O14514
O95751	A8K171
Q5DR82	Q5DR82
Q07912	D3DU00
Q53XR6	Q13485
D3DTN3	B1AK66
O14745	P47900
Q4W597	D3DRY4
Q14318	P10415
P51693	B2R4P8
Q7LBR1	P53597
P01135	B2R5Q7
P43364	Q13490
Q6ZQV4	P21918
Q6XZF7	Q6XZF7
P01225	P01233
Q53ZZ1	Q96RU3
A8K6M0	Q99816
Q53YY0	P49407
A8K107	O43566
Q2TB39	Q9NQ33
P21580	Q13546
Q9Y5B0	P08621
Q9Y3V7	Q59FG9
Q9P2M7	Q9UDY2
Q4KMG0	P26232
A8CF34	A4D0Y8
O94941	D3DPG3
Q05516	B4E120
Q8IW76	Q8IW76
B3KT21	Q16548
B1AKZ4	Q9NVE7
Q02817	Q02817
P05386	O60925
Q9NWA0	O95402
P10909	B1AHC8
Q99417	D3DTZ0
O43353	Q658U1
O60682	Q2TB39
D3DVV8	Q8TAX8
P56159	P39905
Q92870	Q06481
Q14520	P08572
Q9UNA1	Q8IYN9
O43186	Q8TC57
Q99959	P15924
A8K6V3	Q7Z497
D3DP05	Q8IVM0
O43251	Q96MA1
P02679	P05160
O75190	P05783
P55060	Q0P6H9
O00268	B3KMD8
A8K107	D3DR16
Q9NUA2	D3DQY2
Q4LE28	Q6IN79
D3DTS5	D3DRX1
Q16851	Q16851
O00231	Q7L5N1
D3DP05	P04179
Q8WVF5	Q8WVF5
Q96IP4	D3DQE4
P55210	P06400
O60508	Q547Q3
Q547Q3	Q86V29
B3KT07	D3DN49
Q13873	Q4VBA3
Q6NSJ8	Q6IQ28
D3DRP8	Q99459
P38432	Q9UNH7
Q8IYN9	P25054
O95905	P04150
Q6IB64	Q4V328
Q13242	P62995
Q05655	Q53XC0
D3DTH6	P04629
Q13393	P61764
Q9NTF0	Q9NP79
Q5RL73	D3DWA3
Q9GZZ8	P18827
P63162	D3DX43
Q6ZSZ9	B3KPB9
B4DG66	Q9BYC9
O76080	P54727
B2R5Q7	Q06945
Q8TEQ8	Q6IB04
Q7Z2Y5	P23528
Q9P084	P19235
O75150	Q96JY2
B3KM80	D3DVV8
Q5W141	Q13485
O95059	P78346
Q13478	Q14116
P53621	Q59F04
Q9Y6D9	Q14134
Q6FH91	Q7Z554
P78317	Q9NUA2
Q9Y3Y4	P26232
Q59H02	D3DWS0
O14645	Q9NUQ8
O43292	Q9H490
P23443	Q09161
A8K4G2	B0LPF3
B3KN25	B3KN25
O43809	Q5RL73
P62310	Q16637
Q9GZY0	Q504X9
Q9BVJ6	Q9H8T0
D3DUS5	P61073
Q16873	Q16873
Q15544	Q5STP9
Q547Q3	Q96AE7
Q9UQE7	D3DRA9
P55210	D3DUR1
Q9Y5K6	P20338
Q9UKL3	Q9UKL3
O43583	Q9ULC4
P05166	P05166
O95838	P01275
Q9H3D4	B0LPF3
P04150	P40763
O94907	Q99750
P41222	B0FWH2
Q4J6C1	O43318
Q7L5N1	D3DWG3
Q9BUZ4	D3DP62
B4E127	B1AK66
O75344	Q9Y5B8
Q15011	P49768
P53350	Q86V29
O15482	B4E3T6
Q01844	Q9C0D9
Q9Y2I6	Q9BTE1
Q5VST9	Q01484
Q8N6P7	Q9GZX6
Q63HP7	Q8WWV3
P33993	Q14566
O75925	O15169
Q05DA5	P23458
D3DW12	O14745
D3DWR0	D3DQI8
O00267	Q6PEG1
P36888	P36888
P10244	Q4LE28
Q9BRD5	Q9Y3F4
O95751	B3KNH5
P06744	P17936
