Q5WIU9	Q5WDH8	kegg_pathways 
Q5WIX2	Q5WIX1	biocyc 
Q5WL61	Q5WL60	biocyc 
Q5WEB6	Q5WCX1	kegg_pathways 
Q5WBS0	Q5WBR9	biocyc 
Q5WCY2	Q5WCY1	biocyc 
Q5WJ70	Q5WJ69	biocyc 
Q5WCN1	Q5WCN0	kegg_pathways biocyc 
Q5WC32	Q5WC30	biocyc 
Q5WIL9	Q5WIL8	biocyc 
Q5WDD6	Q5WDD3	biocyc 
Q5WL28	Q5WL26	biocyc 
Q5WD41	Q5WD40	biocyc 
Q5WBL2	Q5WBL1	biocyc 
Q5WBI3	Q5WBI1	biocyc 
Q5WL03	Q5WL02	biocyc 
Q5WLI0	Q5WLH8	biocyc 
Q5WB77	Q5WB75	kegg_pathways 
Q5WIY1	Q5WIY0	biocyc 
Q5WJK4	Q5WJK3	biocyc 
Q5WH10	Q5WEK4	kegg_pathways 
Q5WJ13	Q5WJ12	kegg_pathways biocyc 
Q5WI35	Q5WI34	biocyc 
Q5WL76	Q5WL74	biocyc 
Q5WJY7	Q5WJY6	biocyc 
Q5WKW8	Q5WC72	kegg_pathways 
Q5WL04	Q5WL03	biocyc 
Q5WHZ0	Q5WHY9	biocyc 
Q5WJ69	Q5WJ68	biocyc 
Q5WJZ4	Q5WJZ3	biocyc 
Q5WHW9	Q5WHW8	biocyc 
Q5WFB0	Q5WFA9	biocyc 
Q5WHL5	Q5WHL4	biocyc 
Q5WD30	Q5WD29	biocyc 
Q5WBI0	Q5WBH8	biocyc 
Q5WCW6	Q5WCW4	biocyc 
Q5WBI6	Q5WBI5	kegg_pathways 
Q5WBZ4	Q5WBZ2	biocyc 
Q5WDD4	Q5WDD3	biocyc 
Q5WDA4	Q5WDA2	biocyc 
Q5WM02	Q5WM01	biocyc 
Q5WKT3	Q5WKT2	biocyc 
Q5WC07	Q5WC06	kegg_pathways biocyc 
Q5WBH9	Q5WBH8	biocyc 
Q5WCA7	Q5WCA6	biocyc 
Q5WG49	Q5WG47	biocyc 
Q5WIQ3	Q5WIQ2	biocyc 
Q5WET8	Q5WET6	biocyc 
Q5WIY2	Q5WIY0	biocyc 
Q5WAK7	Q5WAK6	kegg_pathways biocyc 
Q5WL60	Q5WL58	biocyc 
Q5WET6	Q5WET5	biocyc 
Q5WC59	Q5WC58	biocyc 
Q5WDY2	Q5WDY1	kegg_pathways biocyc 
Q5WB14	Q5WB13	biocyc 
Q5WFB3	Q5WFB2	biocyc 
Q5WJY9	Q5WJY6	biocyc 
Q5WL96	Q5WL95	biocyc 
Q5WB79	Q5WB77	kegg_pathways 
Q5WJQ8	Q5WD31	kegg_pathways 
Q5WJY8	Q5WJY7	biocyc 
Q5WDD6	Q5WDD5	biocyc 
Q5WBR1	Q5WBR0	biocyc 
Q5WL18	Q5WL17	biocyc 
Q5WI36	Q5WI35	biocyc 
Q5WB75	Q5WB74	kegg_pathways 
Q5WKT3	Q5WKT1	biocyc 
Q5WH10	Q5WB18	kegg_pathways 
Q5WBK6	Q5WAQ8	kegg_pathways 
Q5WIM6	Q5WIM5	biocyc 
Q5WB78	Q5WB77	kegg_pathways 
Q5WG10	Q5WG09	kegg_pathways biocyc 
Q5WCD6	Q5WCD5	biocyc 
Q5WHJ3	Q5WH83	kegg_pathways 
Q5WAK9	Q5WAK8	kegg_pathways biocyc 
Q5WBI7	Q5WBI5	kegg_pathways 
Q5WKA3	Q5WKA2	biocyc 
Q5WCD7	Q5WCD5	biocyc 
Q5WKA4	Q5WKA2	biocyc 
Q5WDZ4	Q5WDZ3	biocyc 
Q5WD31	Q5WB46	kegg_pathways 
Q5WBI0	Q5WBH9	biocyc 
Q5WI64	Q5WC61	kegg_pathways 
Q5WAL7	Q5WAL5	biocyc 
Q5WKK9	Q5WKK8	biocyc 
Q5WCI4	Q5WCI1	biocyc 
Q5WIL9	Q5WIL7	biocyc 
Q5WM03	Q5WM02	biocyc 
Q5WD13	Q5WD12	biocyc 
Q5WBI2	Q5WBI1	biocyc 
Q5WCF6	Q5WCF5	biocyc 
Q5WBS9	Q5WBS8	biocyc 
Q5WDD5	Q5WDD3	biocyc 
Q5WHW1	Q5WH10	kegg_pathways 
Q5WC07	Q5WC05	kegg_pathways biocyc 
Q5WKL4	Q5WKL3	biocyc 
Q5WET7	Q5WET6	biocyc 
Q5WH83	Q5WAZ7	kegg_pathways 
Q5WBI8	Q5WBI6	kegg_pathways 
Q5WKJ9	Q5WKJ8	biocyc 
Q5WB77	Q5WB74	kegg_pathways 
Q5WJ27	Q5WJ26	biocyc 
Q5WCY1	Q5WCY0	biocyc 
Q5WJ70	Q5WJ68	biocyc 
Q5WL61	Q5WL58	biocyc 
Q5WL14	Q5WL13	biocyc 
Q5WJY9	Q5WJY7	biocyc 
Q5WL28	Q5WL27	biocyc 
Q5WBF3	Q5WBF2	biocyc 
Q5WKW8	Q5WD31	kegg_pathways 
Q5WLH9	Q5WLH8	biocyc 
Q5WM03	Q5WM01	biocyc 
Q5WC31	Q5WC30	biocyc 
Q5WDD5	Q5WDD2	biocyc 
Q5WCI3	Q5WCI1	biocyc 
Q5WKG7	Q5WKG5	biocyc 
Q5WKL5	Q5WKL3	biocyc 
Q5WDJ6	Q5WDJ5	biocyc 
Q5WG49	Q5WG48	biocyc 
Q5WJG8	Q5WG06	kegg_pathways 
Q5WKK0	Q5WKJ9	biocyc 
Q5WD31	Q5WC72	kegg_pathways 
Q5WDY3	Q5WDY2	biocyc 
Q5WBL2	Q5WBL0	biocyc 
Q5WM01	Q5WM00	biocyc 
Q5WDA9	Q5WDA7	biocyc 
Q5WJN2	Q5WJN1	biocyc 
Q5WC09	Q5WB46	kegg_pathways 
Q5WJ45	Q5WJ44	biocyc 
Q5WKF1	Q5WKE9	kegg_pathways 
Q5WIU6	Q5WIU5	biocyc 
Q5WK51	Q5WHJ6	kegg_pathways 
Q5WJK5	Q5WJK4	biocyc 
Q5WIL4	Q5WIL3	kegg_pathways biocyc 
Q5WCI4	Q5WCI3	biocyc 
Q5WBI8	Q5WBI7	kegg_pathways 
Q5WJ02	Q5WJ01	biocyc 
Q5WKL5	Q5WKL4	biocyc 
Q5WHB8	Q5WHB7	biocyc 
Q5WDD3	Q5WDD2	biocyc 
Q5WET8	Q5WET7	kegg_pathways biocyc 
Q5WIY2	Q5WIY1	biocyc 
Q5WD13	Q5WD11	biocyc 
Q5WBR8	Q5WBR7	biocyc 
Q5WD20	Q5WD19	biocyc 
Q5WJ26	Q5WJ25	biocyc 
Q5WCZ2	Q5WCZ0	kegg_pathways biocyc 
Q5WDA8	Q5WDA7	biocyc 
Q5WK80	Q5WK79	biocyc 
Q5WBZ3	Q5WBZ2	biocyc 
Q5WAL7	Q5WAL6	biocyc 
Q5WB78	Q5WB75	kegg_pathways 
Q5WDJ5	Q5WDJ4	biocyc 
Q5WBI5	Q5WBI4	kegg_pathways 
Q5WAL7	Q5WAL4	biocyc 
Q5WBI7	Q5WBI6	kegg_pathways 
Q5WL15	Q5WL14	biocyc 
Q5WGV3	Q5WGM5	kegg_pathways 
Q5WJQ8	Q5WB46	kegg_pathways 
Q5WDD5	Q5WDD4	kegg_pathways biocyc 
Q5WLI1	Q5WLI0	biocyc 
Q5WLI1	Q5WLH8	biocyc 
Q5WD12	Q5WD11	biocyc 
Q5WAL6	Q5WAL5	biocyc 
Q5WL76	Q5WL73	biocyc 
Q5WKE9	Q5WHK0	kegg_pathways 
Q5WKG5	Q5WKG4	biocyc 
Q5WEK4	Q5WDN6	kegg_pathways 
Q5WJ11	Q5WG06	kegg_pathways 
Q5WCW5	Q5WCW4	biocyc 
Q5WM05	Q5WM04	biocyc 
Q5WAL5	Q5WAL4	biocyc 
Q5WDA4	Q5WDA3	biocyc 
Q5WBL1	Q5WBL0	biocyc 
Q5WCV5	Q5WCV3	biocyc 
Q5WC91	Q5WC90	biocyc 
Q5WDA3	Q5WDA2	biocyc 
Q5WIM8	Q5WIM7	biocyc 
Q5WB78	Q5WB74	kegg_pathways 
Q5WC06	Q5WC05	kegg_pathways biocyc 
Q5WDY3	Q5WDY1	biocyc 
Q5WHW3	Q5WF57	kegg_pathways 
Q5WL01	Q5WK34	kegg_pathways 
Q5WBH7	Q5WBH6	biocyc 
Q5WKY5	Q5WC09	kegg_pathways 
Q5WDZ5	Q5WDZ4	biocyc 
Q5WJ27	Q5WJ25	biocyc 
Q5WKX9	Q5WKX8	biocyc 
Q5WET7	Q5WET5	biocyc 
Q5WL61	Q5WL59	biocyc 
Q5WB79	Q5WB78	kegg_pathways 
Q5WCU6	Q5WCU5	biocyc 
Q5WC32	Q5WC31	biocyc 
Q5WCD7	Q5WCD6	biocyc 
Q5WCA8	Q5WCA6	biocyc 
Q5WM03	Q5WM00	biocyc 
Q5WC80	Q5WC79	biocyc 
Q5WK39	Q5WK38	biocyc 
Q5WIM9	Q5WIM7	biocyc 
Q5WJG8	Q5WJ11	kegg_pathways 
Q5WCK5	Q5WCK4	biocyc 
Q5WDP3	Q5WDP2	biocyc 
Q5WKG7	Q5WKG4	biocyc 
Q5WKA4	Q5WKA3	biocyc 
Q5WGS1	Q5WGS0	kegg_pathways 
Q5WIQ4	Q5WIQ2	biocyc 
Q5WGT5	Q5WGT1	kegg_pathways 
Q5WCL2	Q5WCL1	biocyc 
Q5WB79	Q5WB76	kegg_pathways 
Q5WKK0	Q5WKJ8	biocyc 
Q5WCF1	Q5WCF0	biocyc 
Q5WKY5	Q5WC72	kegg_pathways 
Q5WCY2	Q5WCY0	biocyc 
Q5WFP5	Q5WFP4	kegg_pathways 
Q5WBF4	Q5WBF3	biocyc 
Q5WDD6	Q5WDD2	biocyc 
Q5WL74	Q5WL73	biocyc 
Q5WC92	Q5WC90	biocyc 
Q5WJK5	Q5WJK3	biocyc 
Q5WBI3	Q5WBI2	biocyc 
Q5WLI0	Q5WLH9	biocyc 
Q5WCN2	Q5WCN1	kegg_pathways biocyc 
Q5WDZ5	Q5WDZ3	biocyc 
Q5WCU6	Q5WCU4	biocyc 
Q5WDP3	Q5WDP1	biocyc 
Q5WKT2	Q5WKT1	biocyc 
Q5WDJ6	Q5WDJ4	kegg_pathways biocyc 
Q5WBI8	Q5WBI5	kegg_pathways 
Q5WL04	Q5WL02	biocyc 
Q5WBI7	Q5WBI4	kegg_pathways 
Q5WHW1	Q5WDN6	kegg_pathways 
Q5WCF7	Q5WCF6	biocyc 
Q5WB14	Q5WB12	biocyc 
Q5WJY9	Q5WJY8	biocyc 
Q5WCZ2	Q5WCZ1	kegg_pathways biocyc 
Q5WC59	Q5WC57	biocyc 
Q5WD31	Q5WC09	kegg_pathways 
Q5WB78	Q5WB76	kegg_pathways 
Q5WC58	Q5WC57	biocyc 
Q5WL52	Q5WL51	biocyc 
Q5WKY5	Q5WB46	kegg_pathways 
Q5WEN6	Q5WEN5	kegg_pathways 
Q5WIL8	Q5WIL7	biocyc 
Q5WL15	Q5WL13	biocyc 
Q5WHL2	Q5WHL1	biocyc 
Q5WM02	Q5WM00	biocyc 
Q5WCS8	Q5WCS7	biocyc 
Q5WCV5	Q5WCV4	biocyc 
Q5WCU5	Q5WCU4	biocyc 
Q5WLI1	Q5WLH9	biocyc 
Q5WKW8	Q5WC09	kegg_pathways 
Q5WBI6	Q5WBI4	kegg_pathways 
Q5WIW0	Q5WIV9	kegg_pathways biocyc 
Q5WET8	Q5WET5	biocyc 
Q5WBI8	Q5WBI4	kegg_pathways 
Q5WDP2	Q5WDP1	biocyc 
Q5WC92	Q5WC91	kegg_pathways biocyc 
Q5WCF7	Q5WCF5	biocyc 
Q5WAX1	Q5WAX0	kegg_pathways biocyc 
Q5WCV4	Q5WCV3	biocyc 
Q5WBF4	Q5WBF2	biocyc 
Q5WM11	Q5WGV3	kegg_pathways 
Q5WC72	Q5WB46	kegg_pathways 
Q5WHQ0	Q5WF05	kegg_pathways 
Q5WIM9	Q5WIM8	biocyc 
Q5WJY8	Q5WJY6	biocyc 
Q5WKY5	Q5WKW8	kegg_pathways 
Q5WDD6	Q5WDD4	biocyc 
Q5WKY5	Q5WD31	kegg_pathways 
Q5WL60	Q5WL59	biocyc 
Q5WDA9	Q5WDA8	biocyc 
Q5WCN2	Q5WCN0	kegg_pathways biocyc 
Q5WKC6	Q5WKC5	biocyc 
Q5WG48	Q5WG47	biocyc 
Q5WI36	Q5WI34	biocyc 
Q5WB13	Q5WB12	biocyc 
Q5WL59	Q5WL58	biocyc 
Q5WB77	Q5WB76	kegg_pathways 
Q5WJQ8	Q5WC72	kegg_pathways 
Q5WDD4	Q5WDD2	biocyc 
Q5WKY5	Q5WJQ8	kegg_pathways 
Q5WHT7	Q5WHT6	biocyc 
Q5WJQ8	Q5WC09	kegg_pathways 
Q5WKW8	Q5WB46	kegg_pathways 
Q5WAQ1	Q5WAQ0	biocyc 
Q5WAL6	Q5WAL4	biocyc 
Q5WJB3	Q5WJB2	kegg_pathways biocyc 
Q5WL27	Q5WL26	biocyc 
Q5WCW6	Q5WCW5	biocyc 
Q5WDU6	Q5WDU5	biocyc 
Q5WLF1	Q5WLF0	biocyc 
Q5WM11	Q5WGM5	kegg_pathways 
Q5WB79	Q5WB74	kegg_pathways 
Q5WC72	Q5WC09	kegg_pathways 
Q5WBZ4	Q5WBZ3	biocyc 
Q5WCA8	Q5WCA7	biocyc 
Q5WB76	Q5WB75	kegg_pathways 
Q5WB79	Q5WB75	kegg_pathways 
Q5WB76	Q5WB74	kegg_pathways 
Q5WHL3	Q5WHL1	biocyc 
Q5WCZ1	Q5WCZ0	kegg_pathways biocyc 
Q5WKW8	Q5WJQ8	kegg_pathways 
Q5WHL3	Q5WHL2	biocyc 
Q5WIQ4	Q5WIQ3	biocyc 
Q5WKF1	Q5WHK0	kegg_pathways 
